,tns_name,previous_name,repeater_name,ra,dec,gb,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,dm_fitb,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,flux,fluence,sub_num,width_fitb,sp_idx,sp_run,high_freq,low_freq,peak_freq,chi_sq,dof,repeating,redshift,fre_width,fre_width_ob,rest_width,energy,bright_temp,log_fre_width,log_redshift,log_rest_width,log_energy,log_bright_temp
0,FRB20180725A,180725.J0613+67,-9999,93.42,67.07,21.29,716.6,0.0,2.7,0.0,5.0,715.8093,644.2,635.4,2.9499999999999997,0.0011,1.7,4.1,0,0.000296,38.2,-45.8,760.1,485.3,607.4,371857.954,371481,0,0.6407402659938929,450.8754250951217,274.8,0.18040637274218133,2.9700911472255796e+40,5.79286532834375e+29,2.6540565647888616,-0.19331798281402676,-3.7437481253424103,40.472769777307015,29.76289343220404
1,FRB20180727A,180727.J1311+26,-9999,197.72,26.42,85.6,642.1,0.0,1.9,0.0,3.1,642.134,620.9,622.4,2.9499999999999997,0.0017,0.58,2.31,0,0.00139,3.8,-9.2,800.2,400.2,493.3,382969.318,381818,0,0.6148179081285523,645.927163251421,400.00000000000006,0.860778167620708,1.2493653028697339e+40,2.754577913253272e+29,2.8101835483644098,-0.21125349106145624,-3.0651087567823523,40.09668944063557,29.44005506090517
2,FRB20180729A,180729.J1316+55,-9999,199.4,55.58,61.16,108.4,0.0,4.6,0.0,8.6,109.59418,78.8,86.8,0.98,0.0001574,11.7,17.0,0,0.0001,16.46,-30.21,692.7,400.2,525.6,264732.041,186953,0,0.002248222001635545,293.15760493547845,292.50000000000006,0.09977568211623808,1.1241590691968291e+36,5.089480711546702e+26,2.46710116489869,-2.6481608063926076,-4.00097529448049,36.050827768516456,26.706673472785738
3,FRB20180729B,180729.J0558+56,-9999,89.93,56.5,15.68,318.6,0.0,0.9,0.0,1.7,317.2235,223.2,198.8,1.97,0.00066,0.92,1.2,0,0.000314,14.5,-14.6,800.2,441.8,657.5,425139.488,421337,0,0.15756591761040872,414.87162487157053,358.40000000000003,0.27125885033674607,5.2157442145425124e+38,3.3252946026834312e+28,2.617913732290743,-0.8025377170144176,-3.5666160832274403,38.71731628499829,28.521830127429205
4,FRB20180730A,180730.J0353+87,-9999,57.39,87.19,25.11,849.2,3.3,2.3,6.1,4.4,848.9041,789.7,790.5,4.92,0.002073,5.2,27.0,0,0.000468,4.27,-11.31,759.2,400.2,483.5,429165.844,417689,0,0.8024046566162314,647.0632717252271,359.00000000000006,0.2596531241095471,2.452904856507448e+41,1.5838995182172798e+30,2.810946749320348,-0.09560655962763646,-3.585606447667905,41.38968070307995,30.199727626705528
5,FRB20180801A,180801.J2130+72,-9999,322.53,72.72,15.46,656.7,31.0,4.4,66.9,8.4,655.728,565.6,547.7,9.83,0.00554,1.11,7.9,0,0.00058,60.0,-75.5,709.3,500.2,595.6,804325.253,800121,0,0.5531595784381996,324.76566785142745,209.09999999999997,0.37343232984676744,4.1561291275590724e+40,2.6238608634680635e+28,2.511570112161632,-0.25714956302155895,-3.427788085781023,40.61868903227185,28.41894080180494
6,FRB20180806A,180806.J1515+75,-9999,228.56,75.62,38.4,739.2,2.5,0.4,4.6,0.8,739.9482,699.3,706.0,2.9499999999999997,0.0016,1.9,7.6,0,0.00141,0.1,-0.1,800.2,400.2,665.3,370874.518,369658,0,0.7019693816568067,680.7877526627227,400.00000000000006,0.8284520363271255,7.25755546293451e+40,6.494724818717427e+29,2.8330117342110186,-0.15368183041647776,-3.0817326302276764,40.86079036343645,29.812560754755573
7,FRB20180810A,180810.J0646+34,-9999,101.47,34.86,14.06,415.7,0.0,1.5,0.0,2.7,414.8804,310.2,274.7,1.97,0.000253,1.1,1.7,0,0.000322,1.1,-1.7,800.2,400.2,552.9,356074.278,356889,0,0.2619392103601888,504.77568414407557,400.00000000000006,0.2551628456873872,1.772805886465046e+39,1.6042044313558377e+29,2.7030984260768096,-0.5817994860403883,-3.5931825630530163,39.24866118509202,29.20525971167413
8,FRB20180810B,180810.J1159+83,-9999,180.41,83.14,33.82,169.8,2.7,1.1,4.7,1.8,169.1385,123.3,129.6,0.98,0.000201,5.2,7.9,0,0.000311,-0.76,-4.06,778.6,400.2,400.2,191482.92,183305,0,0.031017621765497428,390.1370680760642,378.40000000000003,0.30164372890877345,7.682337002162516e+37,7.535519317575681e+28,2.591217215874683,-1.5083915041921907,-3.5205056991180905,37.88549335450442,28.877113187504765
9,FRB20180812A,180812.J0112+80,-9999,19.33,80.78,17.96,795.8,6.2,2.1,12.2,4.1,802.451,722.1,708.4,7.86,0.00281,0.93,5.4,0,0.0013,-2.9,-8.3,586.4,400.2,400.2,563105.45,560873,0,0.7272927934966027,321.6219181490674,186.2,0.752622835511504,3.3322701179302994e+40,1.3294745475846223e+29,2.5073456377344803,-0.13829071568742043,-3.12342260878232,40.52274019860864,29.123680027301763
10,FRB20180814B,180814.J1554+74,-9999,238.26,74.02,37.62,237.8,2.4,0.3,3.9,0.5,238.3474,197.2,203.8,5.8999999999999995,0.00088,3.4,10.6,0,0.000764,0.3,1.2,800.2,400.2,800.2,366744.692,363573,0,0.12546225908680203,450.18490363472085,400.00000000000006,0.6788321810274724,3.513342140626224e+39,5.795899111562949e+27,2.653390927408028,-0.9014868967755757,-3.1682375775043754,39.54572044485342,27.76312081715924
11,FRB20180814B,180814.J1554+74,-9999,238.26,74.02,37.62,237.8,2.4,0.3,3.9,0.5,238.3474,197.2,203.8,5.8999999999999995,0.00088,3.4,10.6,1,0.00083,0.1,0.2,800.2,400.2,800.2,366744.692,363573,0,0.12546225908680203,450.18490363472085,400.00000000000006,0.7374747516397933,3.513342140626224e+39,5.795899111562949e+27,2.653390927408028,-0.9014868967755757,-3.1322528437039914,39.54572044485342,27.76312081715924
12,FRB20180814A,180814.J0422+73,FRB20180814A,65.54,73.63,16.58,190.9,43.8,6.9,155.9,25.6,189.286,101.5,80.9,7.86,0.0031,0.39,2.6,0,0.00254,42.5,-143.0,527.0,408.9,464.2,377384.635,376346,1,0.002248222001635545,118.36551501839318,118.10000000000002,2.5343023257524475,1.518455170331987e+35,3.3811132545365895e+23,2.0732251920940055,-2.6481608063926076,-2.5961415778605526,35.18140197467718,23.5290597182359
13,FRB20180817A,180817.J1533+42,-9999,233.2,42.2,53.98,1002.8,0.0,6.2,0.0,11.1,1006.7714,979.1,982.0,17.69,0.01103,2.4,29.0,0,0.00189,3.35,-7.46,800.2,400.2,501.1,1069085.403,1057913,0,1.0140001966958603,805.6000786783442,400.00000000000006,0.9384308914669952,4.341839889048466e+41,8.37115067399402e+28,2.9061194999606177,0.00603803924181268,-3.027597704459411,41.63767380424396,28.92278515895129
14,FRB20180904A,-9999,-9999,286.58,81.22,26.22,360.7,1.0,1.8,2.2,3.7,361.13741,305.7,308.4,1.97,0.00055,3.8,6.0,0,0.0005275,12.12,-23.18,712.3,400.2,519.7,155378.697,143482,0,0.25663590133767455,392.19606480748814,312.09999999999997,0.4197715499282507,5.637608161838775e+39,6.0126180409212824e+29,2.593503231756632,-0.5906825893398411,-3.3769869991215695,39.75109488723885,29.77906361562181
15,FRB20180906A,-9999,-9999,141.48,14.29,40.61,383.3,0.0,3.3,0.0,6.4,383.456,340.0,346.5,0.98,0.0017,1.6,2.7,0,0.00135,-0.2,1.4,800.2,400.2,800.2,320313.543,304602,0,0.29684492371984383,518.7379694879376,400.00000000000006,1.0409879973371736,5.2790965300680494e+39,5.831697847973014e+29,2.7149480377286523,-0.5274703734494284,-2.9825542779056837,39.72255960329526,29.765795014219826
16,FRB20180906B,-9999,-9999,185.75,56.42,60.27,3037.7,0.0,1.7,0.0,3.5,3038.058,3006.7,3015.4,5.8999999999999995,0.0048,0.36,1.5,0,0.0029,2.6,-11.1,709.1,400.2,449.3,350696.512,350201,0,3.6497163154208123,1436.2973698334893,308.90000000000003,0.6236939639483234,1.9699502031976297e+41,1.373662984644221e+30,3.157244365190193,0.5622591089947333,-3.205028458989786,41.294455248115995,30.137880195705794
17,FRB20180907D,-9999,-9999,328.95,89.22,26.57,1444.4,5.1,3.5,10.2,6.8,1447.098,1391.1,1393.4,5.8999999999999995,0.0027,0.89,4.9,0,0.00222,2.8,-0.1,800.2,400.2,800.2,339735.417,347770,0,1.4875887176933809,995.0354870773525,400.00000000000006,0.8924304826637489,2.4366931643403054e+41,2.2762611812841707e+29,2.997838569757831,0.17248287588343356,-3.0494256039792296,41.386800844973166,29.357222092117897
18,FRB20180907A,-9999,-9999,320.87,29.46,-14.65,875.1,0.0,1.3,0.0,3.4,877.24,785.2,801.8,5.8999999999999995,0.000264,0.87,2.8,0,0.00087,-2.3,-5.1,648.6,400.2,400.2,343339.826,342297,0,0.7974013661559739,446.4744993531439,248.40000000000003,0.4840321234764788,2.0792745971431608e+40,2.6562244977628253e+29,2.6497966589547333,-0.09832302461356338,-3.315125814831572,40.31791184774848,29.42426477778157
19,FRB20180907B,-9999,-9999,4.49,19.17,-43.0,658.3,0.0,2.0,0.0,3.8,658.1899,620.1,628.3,2.9499999999999997,0.00113,1.08,2.9,0,0.00021,-0.7,-4.6,751.4,400.2,400.2,316182.424,315545,0,0.6139273923205373,566.8113001829727,351.2,0.13011737764612682,1.2686952536250308e+40,7.770246077573698e+29,2.753438499934966,-0.2118829887597001,-3.8856646979669818,40.103357315110266,29.89043477278291
20,FRB20180907C,-9999,-9999,41.72,77.07,15.66,638.9,9.1,2.0,17.3,4.0,638.1999,546.8,522.9,1.97,0.0008,1.11,1.48,0,0.00027,2.5,-2.5,800.2,400.2,670.0,340394.587,347161,0,0.5321386212125543,612.8554484850218,400.00000000000006,0.17622426343271635,8.08960251341625e+39,4.768245095808528e+29,2.7873580514706173,-0.2739752199874881,-3.7539342959836675,39.90792718286432,29.678358570771913
21,FRB20180907E,-9999,-9999,167.88,47.09,62.04,381.7,0.0,3.6,0.0,8.5,383.36,352.9,363.3,11.799999999999999,0.00338,0.73,6.9,0,0.00415,-7.1,-2.7,536.3,400.2,400.2,597440.649,598265,0,0.3118487102993607,178.54260947174294,136.09999999999997,3.1634745435340488,7.472306277173623e+39,8.125688160519581e+27,2.2517418778720137,-0.5060560477040126,-2.4998356559565864,39.87345466458183,27.909860151393758
22,FRB20180908B,180908.J1232+74,FRB20180908B,188.22,74.19,42.88,197.3,23.8,4.0,69.9,9.8,195.2393,157.0,164.6,7.86,0.0021,1.17,5.0,0,0.001882,54.3,-71.9,698.5,488.3,584.1,315464.399,312506,1,0.07474761292138617,225.91194823607538,210.2,1.7511087974267139,4.205430283724985e+38,7.332407101001783e+26,2.3539392008883664,-1.1264026720553482,-2.7566868701049048,38.62381043777654,26.865246569330342
23,FRB20180909A,-9999,-9999,123.63,56.76,33.67,407.6,0.0,1.2,0.0,2.3,408.647,358.8,364.5,19.66,0.0082,0.33,1.02,0,0.00631,-0.3,-1.3,800.2,400.2,400.2,256401.455,256250,0,0.3186912132291523,527.476485291661,400.00000000000006,4.78504742937382,1.1553678945533406e+39,1.3840850201396133e+27,2.7222031037124745,-0.4966299104788853,-2.320113753140378,39.06272029516658,27.14116276833129
24,FRB20180910A,-9999,-9999,352.77,88.21,25.45,684.2,2.8,2.2,5.7,4.2,684.4081,626.3,627.7,0.98,0.000244,6.5,5.6,0,0.000205,0.05,-0.53,800.2,400.2,417.6,149900.203,147737,0,0.6208279957621441,648.3311983048577,400.00000000000006,0.12647856560720688,2.6153539708450034e+40,3.9815224538132076e+31,2.8117969207632276,-0.2070287071318352,-3.897983068379511,40.4175304760642,31.6000491692748
25,FRB20180911C,-9999,FRB20180814A,65.54,73.63,16.58,190.9,43.8,6.9,155.9,25.6,189.84,102.0,81.5,6.88,0.0039,0.97,6.2,0,0.00319,75.0,-93.0,701.3,511.7,599.0,532091.517,527130,1,0.002690508823404546,190.1101204729175,189.59999999999997,3.1814403067834642,6.693190213345043e+35,9.442409986518834e+23,2.2790052370577087,-2.57016557936563,-2.4973762209984804,35.825633167366014,23.975082853436604
26,FRB20180911A,-9999,-9999,99.55,84.62,26.69,221.6,2.2,1.2,5.0,2.6,221.254,164.7,166.7,1.97,0.00094,1.6,2.6,0,0.000831,-5.78,0.2,599.9,400.2,400.2,163691.915,162026,0,0.08457422091560639,216.58947191684658,199.7,0.766199291827592,1.9263213516184276e+38,4.371582239193239e+28,2.3356373424114496,-1.0727619941738749,-3.115658253756636,38.28472873844432,28.640638652847223
